,CO2r_1,CO2r_2,CO2_3,dCO2_1,dCO2_2,dCO2_3,dH2O_1,dH2O_2,dH2O_3
28-Jan,412.4009,416.6178,429.2704,15.69467,5.13099,11.64334,2.3242,1.1217,1.2929
2-Feb,444.6182,442.461,465.3235,12.67566,5.40801,13.27702,1.7853,0.788,0.9223
4-Feb,422.1265,421.442,447.6707,9.3412,3.45679,12.4252,2.584,1.8318,1.448
9-Feb,435.2732,450.0452,457.5664,10.49364,5.38923,12.69569,0.8348,0.6854,0.4799
11-Feb,407.8643,413.0442,428.0468,6.60571,2.98135,10.72845,2.5079,2.0065,2.9442
16-Feb,421.4633,415.1612,422.6546,5.57947,3.61306,10.78966,2.2524,1.0467,1.9164
18-Feb,405.2036,411.3132,421.6749,5.26092,3.60187,13.10638,2.5422,1.8443,1.8975
23-Feb,413.4833,430.8733,412.3667,7.98877,2.7508,2.15046,1.8382,1.656,1.243
25-Feb,403.1895,424.9513,430.4564,4.92629,3.34231,14.7375,1.9437,2.2062,2.45
1-Mar,428.4114,409.658,409.3885,13.30046,4.43982,4.4747,1.5609,1.2397,0.8909