,soil_moist_1,soil_moist_2,soil_moist_3,soil_temp_1,soil_temp_2,soil_temp_3
21-Jan,0.288,0.266,0.222,16.4,17.6,15.2
26-Jan,0.200014,0.226162,0.156055,17.5661,15.7369,14.7251
2-Feb,0.13148,0.180178,0.118933,21.9256,14.0615,13.999
4-Feb,0.141194,0.175539,0.11516,14.6416,7.8013,9.4526
9-Feb,0.11531,0.142048,0.092654,20.4605,12.4715,13.1514
11-Feb,0.121004,0.128133,0.119512,22.2116,18.548,18.6131
16-Feb,0.230672,0.09884,0.100752,23.9268,21.3681,18.3916
18-Feb,0.085121,0.102188,0.1764,25.0267,19.5816,19.915
23-Feb,0.068872,0.071566,0.259694,24.6169,21.339,20.8521
25-Feb,0.075191,0.083283,0.081286,33.8445,27.9384,26.4225
1-Mar,0.069959,0.076301,0.076676,22.638,19.579,21.3785
3-Mar,0.10127,0.089445,0.086361,27.3143,22.2828,21.6503